participantId,task,duration_sec,format
66475d6f7b27e4443ef0d031,modifying-task-tabular-4,91.76,json
66475d6f7b27e4443ef0d031,modifying-task-tabular-4_post-task-question,6.536,json
66475d6f7b27e4443ef0d031,$nasa-tlx.co.nasa-tlx,31.156,json
66475d6f7b27e4443ef0d031,post-task-survey-tlx,40.294,json
6672d878f68b9e349b56e871,introduction,33.179,toml
6672d878f68b9e349b56e871,qualifications,19.287,toml
6672d878f68b9e349b56e871,consent,43.981,toml
6672d878f68b9e349b56e871,task,110.112,toml
6672d878f68b9e349b56e871,writing-task-NL,310.609,toml
6672d878f68b9e349b56e871,writing-task-NL_post-task-question,12.054,toml
6672d878f68b9e349b56e871,tutorial-part1,319.341,toml
6672d878f68b9e349b56e871,tutorial-part2,87.967,toml
6672d878f68b9e349b56e871,reading-task-tabular-1,104.897,toml
6672d878f68b9e349b56e871,reading-task-tabular-1_post-task-question,9.091,toml
6672d878f68b9e349b56e871,reading-task-tabular-2,80.57,toml
6672d878f68b9e349b56e871,reading-task-tabular-2_post-task-question,18.693,toml
6672d878f68b9e349b56e871,reading-task-tabular-3,113.162,toml
6672d878f68b9e349b56e871,reading-task-tabular-3_post-task-question,9.302,toml
6672d878f68b9e349b56e871,reading-task-tabular-4,134.893,toml
6672d878f68b9e349b56e871,reading-task-tabular-4_post-task-question,6.987,toml
6672d878f68b9e349b56e871,reading-task-tabular-5,127.958,toml
6672d878f68b9e349b56e871,reading-task-tabular-5_post-task-question,6.085,toml
6672d878f68b9e349b56e871,writing-task-tabular,1036.4421151290323,toml
6672d878f68b9e349b56e871,writing-task-tabular_post-task-question,9.937,toml
6672d878f68b9e349b56e871,modifying-task-tabular-1,146.736,toml
6672d878f68b9e349b56e871,modifying-task-tabular-1_post-task-question,9.468,toml
6672d878f68b9e349b56e871,modifying-task-tabular-2,291.562,toml
6672d878f68b9e349b56e871,modifying-task-tabular-2_post-task-question,8.877,toml
6672d878f68b9e349b56e871,modifying-task-tabular-3,141.375,toml
6672d878f68b9e349b56e871,modifying-task-tabular-3_post-task-question,7.7,toml
6672d878f68b9e349b56e871,modifying-task-tabular-4,268.375,toml
6672d878f68b9e349b56e871,modifying-task-tabular-4_post-task-question,7.772,toml
6672d878f68b9e349b56e871,$nasa-tlx.co.nasa-tlx,31.632,toml
6672d878f68b9e349b56e871,post-task-survey-tlx,99.873,toml
67f5bb69760b211cdfe8021c,introduction,43.309,jsonc
67f5bb69760b211cdfe8021c,qualifications,13.536,jsonc
67f5bb69760b211cdfe8021c,consent,15.823,jsonc
67f5bb69760b211cdfe8021c,task,3.699,jsonc
67f5bb69760b211cdfe8021c,writing-task-NL,147.198,jsonc
67f5bb69760b211cdfe8021c,writing-task-NL_post-task-question,8.381,jsonc
67f5bb69760b211cdfe8021c,tutorial-part1,107.476,jsonc
67f5bb69760b211cdfe8021c,tutorial-part2,170.022,jsonc
67f5bb69760b211cdfe8021c,reading-task-tabular-1,28.324,jsonc
67f5bb69760b211cdfe8021c,reading-task-tabular-1_post-task-question,7.245,jsonc
67f5bb69760b211cdfe8021c,reading-task-tabular-2,32.897,jsonc
67f5bb69760b211cdfe8021c,reading-task-tabular-2_post-task-question,7.213,jsonc
67f5bb69760b211cdfe8021c,reading-task-tabular-3,24.132,jsonc
67f5bb69760b211cdfe8021c,reading-task-tabular-3_post-task-question,7.855,jsonc
67f5bb69760b211cdfe8021c,reading-task-tabular-4,39.297,jsonc
67f5bb69760b211cdfe8021c,reading-task-tabular-4_post-task-question,7.084,jsonc
67f5bb69760b211cdfe8021c,reading-task-tabular-5,48.933,jsonc
67f5bb69760b211cdfe8021c,reading-task-tabular-5_post-task-question,6.166,jsonc
67f5bb69760b211cdfe8021c,writing-task-tabular,465.09740859109314,jsonc
67f5bb69760b211cdfe8021c,writing-task-tabular_post-task-question,7.715,jsonc
67f5bb69760b211cdfe8021c,modifying-task-tabular-1,182.869,jsonc
67f5bb69760b211cdfe8021c,modifying-task-tabular-1_post-task-question,13.88,jsonc
67f5bb69760b211cdfe8021c,modifying-task-tabular-2,136.153,jsonc
67f5bb69760b211cdfe8021c,modifying-task-tabular-2_post-task-question,5.914,jsonc
67f5bb69760b211cdfe8021c,modifying-task-tabular-3,68.999,jsonc
67f5bb69760b211cdfe8021c,modifying-task-tabular-3_post-task-question,7.937,jsonc
67f5bb69760b211cdfe8021c,modifying-task-tabular-4,395.126,jsonc
67f5bb69760b211cdfe8021c,modifying-task-tabular-4_post-task-question,8.126,jsonc
67f5bb69760b211cdfe8021c,$nasa-tlx.co.nasa-tlx,46.525,jsonc
67f5bb69760b211cdfe8021c,post-task-survey-tlx,65.893,jsonc
67e571bef6af7ecd9c29ad72,introduction,24.119,json
67e571bef6af7ecd9c29ad72,qualifications,31.196,json
67e571bef6af7ecd9c29ad72,consent,50.75,json
67e571bef6af7ecd9c29ad72,task,182.028,json
67e571bef6af7ecd9c29ad72,writing-task-NL,404.925,json
67e571bef6af7ecd9c29ad72,writing-task-NL_post-task-question,6.647,json
67e571bef6af7ecd9c29ad72,tutorial-part1,1658.941,json
67e571bef6af7ecd9c29ad72,tutorial-part2,611.594,json
67e571bef6af7ecd9c29ad72,reading-task-tabular-1,182.651,json
67e571bef6af7ecd9c29ad72,reading-task-tabular-1_post-task-question,7.897,json
67e571bef6af7ecd9c29ad72,reading-task-tabular-2,86.891,json
67e571bef6af7ecd9c29ad72,reading-task-tabular-2_post-task-question,5.354,json
67e571bef6af7ecd9c29ad72,reading-task-tabular-3,63.037,json
67e571bef6af7ecd9c29ad72,reading-task-tabular-3_post-task-question,5.434,json
67e571bef6af7ecd9c29ad72,reading-task-tabular-4,88.981,json
67e571bef6af7ecd9c29ad72,reading-task-tabular-4_post-task-question,5.734,json
67e571bef6af7ecd9c29ad72,reading-task-tabular-5,99.474,json
67e571bef6af7ecd9c29ad72,reading-task-tabular-5_post-task-question,3.924,json
67e571bef6af7ecd9c29ad72,writing-task-tabular,663.8082883027523,json
67e571bef6af7ecd9c29ad72,writing-task-tabular_post-task-question,4.312,json
67e571bef6af7ecd9c29ad72,modifying-task-tabular-1,283.731,json
67e571bef6af7ecd9c29ad72,modifying-task-tabular-1_post-task-question,6.503,json
67e571bef6af7ecd9c29ad72,modifying-task-tabular-2,217.109,json
67e571bef6af7ecd9c29ad72,modifying-task-tabular-2_post-task-question,2.697,json
67e571bef6af7ecd9c29ad72,modifying-task-tabular-3,98.595,json
67e571bef6af7ecd9c29ad72,modifying-task-tabular-3_post-task-question,4.565,json
67e571bef6af7ecd9c29ad72,modifying-task-tabular-4,108.764,json
67e571bef6af7ecd9c29ad72,modifying-task-tabular-4_post-task-question,4.598,json
67e571bef6af7ecd9c29ad72,$nasa-tlx.co.nasa-tlx,35.774,json
67e571bef6af7ecd9c29ad72,post-task-survey-tlx,212.853,json
60f1f1d4ac991a259b83f603,introduction,441.855,json
60f1f1d4ac991a259b83f603,qualifications,79.467,json
60f1f1d4ac991a259b83f603,consent,84.548,json
60f1f1d4ac991a259b83f603,task,152.858,json
60f1f1d4ac991a259b83f603,writing-task-NL,273.869,json
60f1f1d4ac991a259b83f603,writing-task-NL_post-task-question,12.026,json
60f1f1d4ac991a259b83f603,tutorial-part1,218.73,json
60f1f1d4ac991a259b83f603,tutorial-part2,88.396,json
60f1f1d4ac991a259b83f603,reading-task-tabular-1,100.924,json
60f1f1d4ac991a259b83f603,reading-task-tabular-1_post-task-question,7.988,json
60f1f1d4ac991a259b83f603,reading-task-tabular-2,90.394,json
60f1f1d4ac991a259b83f603,reading-task-tabular-2_post-task-question,9.892,json
60f1f1d4ac991a259b83f603,reading-task-tabular-3,48.116,json
60f1f1d4ac991a259b83f603,reading-task-tabular-3_post-task-question,11.189,json
60f1f1d4ac991a259b83f603,reading-task-tabular-4,45.041,json
60f1f1d4ac991a259b83f603,reading-task-tabular-4_post-task-question,8.817,json
60f1f1d4ac991a259b83f603,reading-task-tabular-5,48.68,json
60f1f1d4ac991a259b83f603,reading-task-tabular-5_post-task-question,8.995,json
60f1f1d4ac991a259b83f603,writing-task-tabular,436.95095333992094,json
60f1f1d4ac991a259b83f603,writing-task-tabular_post-task-question,11.266,json
60f1f1d4ac991a259b83f603,modifying-task-tabular-1,204.627,json
60f1f1d4ac991a259b83f603,modifying-task-tabular-1_post-task-question,8.054,json
60f1f1d4ac991a259b83f603,modifying-task-tabular-2,222.336,json
60f1f1d4ac991a259b83f603,modifying-task-tabular-2_post-task-question,8.239,json
60f1f1d4ac991a259b83f603,modifying-task-tabular-3,77.711,json
60f1f1d4ac991a259b83f603,modifying-task-tabular-3_post-task-question,7.698,json
60f1f1d4ac991a259b83f603,modifying-task-tabular-4,175.284,json
60f1f1d4ac991a259b83f603,modifying-task-tabular-4_post-task-question,6.854,json
60f1f1d4ac991a259b83f603,$nasa-tlx.co.nasa-tlx,59.541,json
60f1f1d4ac991a259b83f603,post-task-survey-tlx,65.513,json
678f0bb28ec3307e4f1afb78,introduction,51.356,hjson
678f0bb28ec3307e4f1afb78,qualifications,8.006,hjson
678f0bb28ec3307e4f1afb78,consent,43.741,hjson
678f0bb28ec3307e4f1afb78,task,268.292,hjson
678f0bb28ec3307e4f1afb78,writing-task-NL,230.934,hjson
678f0bb28ec3307e4f1afb78,writing-task-NL_post-task-question,12.411,hjson
678f0bb28ec3307e4f1afb78,tutorial-part1,580.038,hjson
678f0bb28ec3307e4f1afb78,tutorial-part2,229.055,hjson
678f0bb28ec3307e4f1afb78,reading-task-tabular-1,128.841,hjson
678f0bb28ec3307e4f1afb78,reading-task-tabular-1_post-task-question,10.468,hjson
678f0bb28ec3307e4f1afb78,reading-task-tabular-2,37.121,hjson
678f0bb28ec3307e4f1afb78,reading-task-tabular-2_post-task-question,5.585,hjson
678f0bb28ec3307e4f1afb78,reading-task-tabular-3,30.347,hjson
678f0bb28ec3307e4f1afb78,reading-task-tabular-3_post-task-question,6.608,hjson
678f0bb28ec3307e4f1afb78,reading-task-tabular-4,80.955,hjson
678f0bb28ec3307e4f1afb78,reading-task-tabular-4_post-task-question,5.192,hjson
678f0bb28ec3307e4f1afb78,reading-task-tabular-5,41.648,hjson
678f0bb28ec3307e4f1afb78,reading-task-tabular-5_post-task-question,4.671,hjson
678f0bb28ec3307e4f1afb78,writing-task-tabular,825.1412633414634,hjson
678f0bb28ec3307e4f1afb78,writing-task-tabular_post-task-question,15.72,hjson
678f0bb28ec3307e4f1afb78,modifying-task-tabular-1,153.609,hjson
678f0bb28ec3307e4f1afb78,modifying-task-tabular-1_post-task-question,4.507,hjson
678f0bb28ec3307e4f1afb78,modifying-task-tabular-2,195.43,hjson
678f0bb28ec3307e4f1afb78,modifying-task-tabular-2_post-task-question,4.596,hjson
678f0bb28ec3307e4f1afb78,modifying-task-tabular-3,79.495,hjson
678f0bb28ec3307e4f1afb78,modifying-task-tabular-3_post-task-question,4.643,hjson
678f0bb28ec3307e4f1afb78,modifying-task-tabular-4,751.516,hjson
678f0bb28ec3307e4f1afb78,modifying-task-tabular-4_post-task-question,11.199,hjson
678f0bb28ec3307e4f1afb78,$nasa-tlx.co.nasa-tlx,45.602,hjson
678f0bb28ec3307e4f1afb78,post-task-survey-tlx,107.123,hjson
669b961e1c9cf30a26bb57d2,introduction,52.909,xml
669b961e1c9cf30a26bb57d2,qualifications,13.911,xml
669b961e1c9cf30a26bb57d2,consent,48.641,xml
669b961e1c9cf30a26bb57d2,task,146.461,xml
669b961e1c9cf30a26bb57d2,writing-task-NL,186.7,xml
669b961e1c9cf30a26bb57d2,writing-task-NL_post-task-question,6.035,xml
669b961e1c9cf30a26bb57d2,tutorial-part1,266.241,xml
669b961e1c9cf30a26bb57d2,tutorial-part2,146.946,xml
669b961e1c9cf30a26bb57d2,reading-task-tabular-1,85.866,xml
669b961e1c9cf30a26bb57d2,reading-task-tabular-1_post-task-question,11.66,xml
669b961e1c9cf30a26bb57d2,reading-task-tabular-2,57.556,xml
669b961e1c9cf30a26bb57d2,reading-task-tabular-2_post-task-question,11.455,xml
669b961e1c9cf30a26bb57d2,reading-task-tabular-3,56.485,xml
669b961e1c9cf30a26bb57d2,reading-task-tabular-3_post-task-question,8.749,xml
669b961e1c9cf30a26bb57d2,reading-task-tabular-4,77.323,xml
669b961e1c9cf30a26bb57d2,reading-task-tabular-4_post-task-question,6.234,xml
669b961e1c9cf30a26bb57d2,reading-task-tabular-5,52.46,xml
669b961e1c9cf30a26bb57d2,reading-task-tabular-5_post-task-question,7.831,xml
669b961e1c9cf30a26bb57d2,writing-task-tabular,295.0106444,xml
669b961e1c9cf30a26bb57d2,writing-task-tabular_post-task-question,6.355,xml
669b961e1c9cf30a26bb57d2,modifying-task-tabular-1,216.538,xml
669b961e1c9cf30a26bb57d2,modifying-task-tabular-1_post-task-question,6.033,xml
669b961e1c9cf30a26bb57d2,modifying-task-tabular-2,83.722,xml
669b961e1c9cf30a26bb57d2,modifying-task-tabular-2_post-task-question,4.951,xml
669b961e1c9cf30a26bb57d2,modifying-task-tabular-3,94.715,xml
669b961e1c9cf30a26bb57d2,modifying-task-tabular-3_post-task-question,8.533,xml
669b961e1c9cf30a26bb57d2,modifying-task-tabular-4,15.544,xml
669b961e1c9cf30a26bb57d2,modifying-task-tabular-4_post-task-question,6.524,xml
669b961e1c9cf30a26bb57d2,$nasa-tlx.co.nasa-tlx,33.63,xml
669b961e1c9cf30a26bb57d2,post-task-survey-tlx,142.258,xml
673c13c9d37c8a73bc80b8ce,introduction,13.249,json
673c13c9d37c8a73bc80b8ce,qualifications,15.21,json
673c13c9d37c8a73bc80b8ce,consent,14.32,json
673c13c9d37c8a73bc80b8ce,task,66.571,json
673c13c9d37c8a73bc80b8ce,writing-task-NL,199.161,json
673c13c9d37c8a73bc80b8ce,writing-task-NL_post-task-question,16.145,json
673c13c9d37c8a73bc80b8ce,tutorial-part1,411.27,json
673c13c9d37c8a73bc80b8ce,tutorial-part2,100.372,json
673c13c9d37c8a73bc80b8ce,reading-task-tabular-1,195.802,json
673c13c9d37c8a73bc80b8ce,reading-task-tabular-1_post-task-question,13.117,json
673c13c9d37c8a73bc80b8ce,reading-task-tabular-2,72.681,json
673c13c9d37c8a73bc80b8ce,reading-task-tabular-2_post-task-question,14.556,json
